Time Spent (Hour),Project,,,3200
1304,EDAFSI,8.15,8.15,
196,RAGVCHTIIX,1.225,1.23,
169.3,CRFIVEWM,1.058125,1.06,
158.2,FRMRRFIVECA,0.98875,0.99,
144.5,FRVDDMONA,0.903125,0.91,
134,FRMRRFIVECA_INTEGRATOR,0.8375,0.84,
104.3,FRMRRFIVECA_[CA_C385],0.651875,0.66,
95,FRVDDMONA_INTEGRATOR,0.59375,0.6,
94.5,RAVVIIIIMT,0.590625,0.6,
82,FRGVGACAFE_INTEGRATOR,0.5125,0.52,
80,CHJFRONTRD_INTEGRATOR,0.5,0.5,
80,FRMRRFIVECA_[CA_C281D],0.5,0.5,
64.5,FRGVGACXJT,0.403125,0.41,
59,FRFIVECPXPENG,0.36875,0.37,
57.3,FRGVGEESC,0.358125,0.36,
57,RAGVCHTIIX_INTEGRATOR,0.35625,0.36,
50.8,FRGVGACAFE,0.3175,0.32,
43.5,FRVSGMWGFS,0.271875,0.28,
42.5,RAFVRNIS,0.265625,0.27,
41,FRMRRFIVECA_[CA_S202_MCA],0.25625,0.26,
40,FRMRRFIVECA_[CA_C385]_INTEGRATOR,0.25,0.25,
39.5,FRGVGACAEE_INTEGRATOR,0.246875,0.25,
37.8,CRGVWMAP,0.23625,0.24,
34,RAFVRNIS_INTEGRATOR,0.2125,0.22,
30,CHJFRONTRD,0.1875,0.19,
29.5,FRVSGMWGFS_INTEGRATOR,0.184375,0.19,
26.3,FRFIVEWMAP,0.164375,0.17,
24,FRMRRFIVECA_[CA_B561],0.15,0.15,
19.3,RAVGACASN,0.120625,0.13,
19,FRGVGACAEE,0.11875,0.12,
18,FRGVGACXJT_INTEGRATOR,0.1125,0.12,
17,FRGVGAC,0.10625,0.11,
13,FRFIVEWM,0.08125,0.09,
10.5,FRFIVECPXPENG_INTEGRATOR,0.065625,0.07,
10,CRGVGACXJT_INTEGRATOR,0.0625,0.07,
10,FRFIVEWMAP_INTEGRATOR,0.0625,0.07,
10,FRMRRFIVECA_[CA_C281D]_INTEGRATOR,0.0625,0.07,
8,CRGVGACXJT,0.05,0.05,
8,CRGVWMAP_INTEGRATOR,0.05,0.05,
8,FRFIVEWM_INTEGRATOR,0.05,0.05,
8,RAVGACASN_INTEGRATOR,0.05,0.05,
5,FRGVSGMWE,0.03125,0.04,
4,EDAFSI_[CA_C281D],0.025,0.03,
4,EDAFSI_[S401MCA2],0.025,0.03,
4,EDATOOL,0.025,0.03,
4,FRGVSGMWE_INTEGRATOR,0.025,0.03,
1,CRXPENG_INTEGRATOR,0.00625,0.01,
0.5,FRGVGAC_INTEGRATOR,0.003125,0.01,
